# z_cadidates 	 DM_host_candidates
0.433220	3.796144
0.064496	6.176380
0.522689	37.927888
0.263990	2.894688
0.554092	7.976071
0.128655	3.079548
0.371560	24.969791
0.084850	12.794538
0.302366	15.715187
0.820120	44.422186
0.894678	30.775253
0.489442	22.152154
0.266659	4.240679
0.557213	14.754370
0.681683	5.472867
0.581148	63.992823
0.909382	4.032267
0.309500	2.776619
0.128953	17.898684
0.682480	47.007845
0.525364	42.262977
0.119104	6.511253
0.261477	8.351447
0.159066	17.512643
0.946110	23.109034
0.163154	4.992027
0.704273	2.349740
0.677954	37.726285
1.269230	24.486785
0.380877	40.825798
0.098909	18.653504
0.540703	42.930786
0.208867	38.546282
0.838709	27.035513
0.660315	97.247989
0.390348	11.429800
0.115876	26.703637
1.111318	12.520908
0.327020	6.486550
0.208294	23.533121
0.577633	11.268809
0.362376	17.529740
1.072714	6.541730
0.059039	7.014968
1.237925	12.053398
1.285758	30.003498
0.085803	13.071772
0.145159	4.153428
0.838099	22.658960
0.133439	2.928736
1.144792	7.789878
0.117933	11.773894
0.246188	3.038187
0.179979	50.998225
0.318473	82.354837
0.626491	21.812729
0.165439	16.067519
0.866511	6.336689
0.714702	49.200336
0.765056	7.316297
0.309256	19.963621
0.215148	4.226721
0.308927	3.537810
0.549960	6.752839
0.365336	22.297037
0.146839	7.580401
0.073839	2.377122
0.371219	26.916223
0.111605	19.738383
0.507851	12.532158
1.012105	22.579855
0.550702	14.990527
0.343674	10.030045
1.104829	8.201237
0.171480	16.924468
0.391333	6.168333
0.694572	29.020792
0.857837	4.828765
0.345079	16.291025
0.233539	12.393004
0.200989	36.933631
0.138837	4.043717
0.558609	9.536195
0.887970	39.677835
0.216384	35.104746
0.095023	1.701120
0.872878	28.507762
1.374842	33.521560
0.554142	15.019887
0.577731	30.806328
0.130109	1.676936
0.147028	12.407364
0.605093	2.915265
0.370602	40.686176
0.197866	20.442054
0.290706	3.235079
0.594954	97.036289
0.154945	11.102286
0.368625	21.837506
0.187930	11.957947
0.058408	10.515566
0.426573	7.550722
0.225284	26.195466
0.369077	15.565329
0.198296	12.484190
0.435088	5.876195
0.314946	22.705253
0.039965	14.333167
1.183681	58.710983
0.790921	7.224621
0.334702	98.453579
0.224561	1.268311
0.555323	26.291898
0.272653	11.800413
0.082422	2.833285
0.264164	9.348461
0.207493	27.323436
0.184814	14.207225
0.623419	40.823528
0.236885	36.405347
0.344554	34.292650
0.714001	32.527775
0.822445	39.239515
0.533948	3.509245
0.120823	5.714724
0.125854	4.105310
0.304154	12.171998
0.988162	28.453273
0.247746	22.698099
0.232267	8.500403
0.205772	12.642747
0.100524	2.084828
0.251076	13.630739
0.326430	26.720904
0.478419	4.883353
0.333391	106.019270
0.452469	26.241420
0.380744	22.130330
0.370153	20.728387
0.547749	4.900017
0.456289	41.108818
0.241441	19.248189
0.251690	10.406717
1.063700	28.630428
0.454374	49.909942
0.440598	19.272707
0.301453	36.927923
0.160082	16.891820
0.182813	17.614846
0.769342	11.831253
0.210230	7.912993
