# z	DM_EG
3.111050	3137.442642
4.455907	3867.917852
3.155339	3226.702815
2.691483	2483.713433
0.806886	661.679597
1.834941	2067.821352
1.453935	1329.452114
1.376986	1334.726563
5.672034	4905.408293
1.933367	1762.733867
4.831625	4228.585078
3.010708	3180.096456
4.031359	3460.772143
2.388026	3036.728423
2.733338	2470.182969
2.343587	2836.794813
1.199914	1128.306733
3.539937	2950.709528
1.510629	1823.607035
0.440246	471.268961
3.088200	3912.914611
1.133271	1227.477284
5.310729	4208.324170
5.456034	4922.254629
5.049533	5190.455265
1.844324	1747.097408
0.366177	274.662205
5.184500	4570.322915
2.073217	2197.817504
5.598710	4168.368142
5.564192	5143.838157
4.487528	3946.420012
1.560664	2341.173709
1.902115	1469.436228
4.471850	3997.407457
1.643528	1579.043885
1.105026	1194.980349
2.636271	2493.851280
5.265481	4973.330747
3.377594	3199.418498
2.699974	3228.596917
0.821778	732.099449
2.925682	3506.734253
5.875885	4543.038859
0.993938	1079.733676
2.458090	2524.718557
4.698265	4322.467372
3.657486	4000.579324
3.383507	3488.272598
3.416499	2783.983494
1.803482	1632.928552
1.557521	1951.967052
4.139723	3477.132007
4.145422	4054.102576
4.607596	3781.060711
5.033579	4523.640430
2.426716	2873.471794
2.383076	2674.659526
4.056986	3255.433221
3.112875	2628.844976
3.413364	3293.367443
4.038558	3894.436541
4.812768	3988.281086
1.722154	1456.829707
1.865225	2413.363794
0.808199	642.957347
2.740090	2536.129379
0.519269	473.972365
2.228024	2181.057481
2.569594	2650.600481
1.531703	1585.205332
2.802333	2488.812127
0.484087	391.554651
0.527950	925.039055
4.241483	4453.498013
1.806150	1905.138252
0.943297	1046.688010
2.475790	2236.461077
3.854346	3977.180810
1.274873	1740.452630
2.966951	2962.602773
0.770747	972.440635
0.609387	448.942504
2.517360	2687.807917
2.560237	3114.025168
3.044489	2802.424085
3.562954	3757.408345
5.705278	4500.555703
2.448948	2527.478876
1.665943	1796.202830
4.034107	4320.879417
1.474407	1653.090741
2.117208	2100.480593
0.739953	823.065568
0.447931	423.908162
5.553208	4594.807968
4.347548	4370.269768
3.377261	3554.375065
1.995979	2125.339041
1.119142	1080.979334
1.056169	910.501426
1.399648	1227.564567
2.600428	2418.338803
3.490804	3056.272651
3.169816	2352.404683
1.507569	1303.542466
5.466353	4325.250613
3.638771	3355.371522
2.624649	2393.362767
2.908632	2539.172465
2.038558	2009.426522
1.390544	1518.678888
1.790085	1662.573185
3.771070	3636.612814
0.355930	242.561453
0.899613	1427.982836
0.578461	588.623648
0.548239	430.825296
4.508156	4133.940679
3.423625	2968.922512
2.264435	2282.118432
0.824557	854.636149
2.339654	1987.418665
2.261441	3103.137121
1.118800	957.385158
2.096267	1871.513956
1.954616	2278.438882
2.930069	2727.657852
3.031903	2504.293266
0.574547	352.225223
1.861479	2099.176321
2.982635	3248.591855
2.390232	2450.127025
4.516855	3999.392431
3.161385	3717.322483
1.080561	805.114999
0.703526	1014.030751
3.071537	3924.612739
0.456369	593.965816
2.777112	3064.620442
5.308315	4194.137054
2.726339	3187.843809
1.914090	2422.257293
3.076271	3175.521303
2.197124	2737.958204
2.583482	2570.461840
5.321389	4586.460000
1.906028	1397.898285
5.536785	5201.008337
4.957054	4558.438764
1.201918	1711.275215
0.697823	919.247317
0.836926	890.529531
0.391213	211.849562
0.810168	823.220607
3.300507	2903.745698
0.706440	451.343386
1.651148	1823.526226
4.419948	3746.907215
0.432327	569.253007
4.178613	3960.210668
1.514580	1225.881545
0.908008	1572.287062
3.381835	3860.624763
2.999000	2816.034248
4.699147	3885.643496
3.620460	3662.144030
4.095502	4024.298644
1.515236	1687.513292
1.134486	1497.115594
3.722487	3726.716778
4.120651	3288.700838
5.881432	5024.374876
2.010585	2154.384758
1.851478	1696.590462
3.899227	3549.962981
1.732711	2015.355917
5.209511	4439.837487
4.533167	4041.764004
2.076502	1942.526236
3.724197	3948.725416
3.748787	3554.665173
0.846706	939.444375
4.930308	4169.133533
2.399604	2268.136321
4.271718	3901.218214
1.655136	1663.889067
4.863977	4127.784929
1.918119	1459.005529
0.318325	348.634767
4.957355	3944.591708
0.796631	822.072936
1.652403	1887.014356
5.413739	4629.290005
5.419674	4945.369624
2.716396	2511.751667
3.014441	2890.496751
2.156263	2274.873494
1.556123	1649.763582
1.687217	2407.691923
3.239747	3626.648029
3.734243	3938.840195
4.007759	3309.742228
3.993524	3444.017220
0.796284	1044.402186
2.351899	2902.492004
0.639944	1187.657497
2.601851	2854.975631
2.127718	2114.202308
4.791629	4412.005566
1.770887	1995.960522
0.903608	1074.456261
1.005102	1135.454822
3.795969	3828.220688
2.942427	2903.192485
0.838367	1025.959641
0.765267	903.635209
3.407324	2884.854830
0.713800	654.349362
4.235709	4134.160594
3.439371	3294.637696
0.752986	897.295101
0.768498	465.193438
5.834175	5100.810738
1.860160	2056.946717
1.846183	1739.522540
4.165855	3812.524198
5.383264	3801.825171
5.826425	4751.777941
3.740967	3634.834338
1.867838	2697.939664
0.762579	1205.283539
3.904398	3677.616898
2.643907	2337.862740
2.057182	2243.607291
4.966699	4426.643948
0.879894	517.387094
2.344056	2174.144627
0.324160	349.504365
2.240985	2342.108567
0.633526	448.240276
0.910621	586.198461
0.905450	1504.418603
3.108722	3240.935811
3.692156	3300.812330
2.765178	2890.437632
5.547839	4914.859869
1.862475	1968.558005
1.528671	1846.726900
4.620887	3998.845497
1.303086	1547.454820
5.559695	5176.239942
0.332935	277.666332
5.635727	4728.237292
0.562370	728.167612
4.823266	4572.930431
2.500629	2804.208064
5.911803	4349.776711
0.718600	922.492923
2.622280	2431.446595
5.629084	5086.925753
2.479667	1936.368562
3.001427	3138.412898
3.375911	2534.430845
2.181606	1932.503631
2.991639	2877.861411
2.769861	2746.058856
4.917047	4638.390442
0.575347	970.663576
1.511325	1568.357286
5.417543	5271.389647
4.815150	4507.728909
2.186264	1679.190553
2.952453	2858.720486
1.498259	1194.920751
1.173823	1268.490461
2.220007	1896.879007
1.780129	1863.110136
2.766600	2684.739312
0.736676	281.255566
5.688193	5009.238124
5.828968	4852.180302
3.390393	3629.685660
2.539198	2411.831897
1.616162	1560.699332
4.173459	3956.876468
3.310608	2868.362754
1.079373	1740.473125
5.010971	4994.248376
4.240989	3897.011612
5.410890	4184.651454
3.560595	3047.598769
2.917411	2962.790471
2.033107	1980.696979
5.229852	4151.996804
4.598846	4185.735599
0.574067	897.638246
0.455329	601.419994
1.868626	2334.162289
4.148760	3908.396478
5.841918	5223.938860
1.033410	1054.286417
2.818883	3021.939527
1.885768	1511.576658
5.636138	4954.906446
4.397348	3939.622567
4.366515	4422.092889
2.241123	2372.135202
2.019385	2549.712010
1.483780	1236.229833
0.633897	581.832165
4.587239	4158.102174
4.166629	2987.804811
5.996422	3947.673966
5.957590	4634.517955
2.629762	2556.267705
3.847368	3506.649612
5.356576	4744.879926
4.459433	3667.469515
1.389156	1536.834333
2.164969	1653.884061
0.951535	1054.986653
5.457382	5000.693043
2.880064	2547.970005
1.321382	1819.729920
3.235058	2740.067809
2.941957	3422.713902
1.798420	2033.879729
0.889468	827.688547
3.234328	2844.537108
2.467024	2675.559989
3.870529	3895.308666
2.466372	2320.430667
4.480588	3994.085707
2.613066	2584.797466
2.656012	3045.337081
4.691854	4569.939096
1.974274	2193.161388
0.970477	789.419620
0.472379	833.552631
3.752786	3217.661190
2.953381	3168.412333
3.426190	3595.693318
1.264495	960.799292
0.979612	1276.058050
0.357410	380.244763
1.769646	2148.372018
2.797753	3025.944430
1.930021	1979.672667
2.111075	2252.223523
4.945635	4117.986368
1.760819	1382.984303
2.438568	2478.742641
3.950592	4033.905390
1.946894	1402.239140
2.962719	2819.218099
4.566927	3367.228347
5.407856	5084.002227
1.020698	990.091996
5.166852	4128.112304
2.341836	2121.928276
1.428669	1671.614114
2.200824	2507.964722
5.754718	5387.473981
2.344025	2609.286494
1.687542	1209.312315
3.022814	2479.914925
1.363059	1259.118734
0.728128	796.320287
0.950439	1121.194140
0.947168	808.308579
1.039042	862.253566
0.989097	1216.884903
3.063139	2797.840921
1.150873	1091.270607
1.751040	1805.703074
4.875824	4986.128691
2.263530	2434.776033
3.211407	2980.733951
1.115528	777.206471
1.189104	1158.706406
0.549062	209.560307
1.102951	1304.139739
1.502668	1581.438301
1.132900	1020.134210
0.785438	909.168293
0.917875	1035.305005
2.207720	2190.125804
1.240378	1281.675559
1.821736	1603.647733
2.391475	2752.160652
3.344011	3373.589681
0.539832	632.417596
4.065231	3535.940280
2.993457	2693.948303
0.754821	715.116016
4.664590	4056.985461
5.109182	4744.796228
0.657644	559.509915
1.496424	1571.929945
4.115887	3105.783367
3.706821	3686.201832
1.160595	1124.153166
1.251353	1727.112673
1.845529	1659.778403
2.308873	1867.718163
2.942619	3300.268561
1.839540	2500.465267
2.215105	2737.446364
3.701591	3257.128722
0.523863	314.152881
1.407603	1324.349873
3.483078	4410.502340
4.861021	3860.433560
2.428214	2728.135530
2.520845	2232.086647
0.863434	964.725405
2.151985	2174.734474
2.523161	2382.795034
1.371482	1822.757662
1.468626	1820.584403
1.871799	1943.438946
0.406870	244.235045
1.662680	1826.708772
1.258985	930.168431
1.682861	1764.812751
0.914392	694.554119
4.817580	3792.105835
2.816176	2436.768077
3.277753	3296.623246
3.990288	3256.750049
2.369535	2126.368419
0.777657	1065.104408
2.543869	2366.995585
2.782409	2987.169621
3.688159	3032.336000
2.087335	2027.505522
0.945340	950.518727
1.521596	1057.756157
1.817194	1704.510171
3.090636	2911.002928
2.703454	2403.492262
1.790556	1345.589838
5.832665	4775.350470
2.878014	3418.436031
1.352485	1717.275445
0.841122	842.391382
1.042662	1492.166842
1.384117	1150.753121
1.072121	1072.427357
1.168116	1108.981427
1.526416	1151.429445
1.119436	1046.192696
4.875608	4326.082525
0.747981	284.953692
2.486090	2107.750772
2.001728	1663.112947
5.782745	4451.216045
0.883313	958.280815
1.952060	2033.232744
5.631018	4788.279635
4.594024	4560.221984
4.198613	3793.801793
1.427429	995.120598
1.110210	1078.493102
3.217587	3214.165318
5.195324	4986.799460
2.636089	2683.108031
2.707509	2740.195428
1.507734	1856.959385
3.850872	3398.238329
1.169867	1287.709647
1.668633	1842.999307
2.062090	2141.865361
2.410076	1994.294922
1.371262	1262.693629
0.894635	876.471597
2.902942	2832.490667
1.539346	1859.191869
2.754650	2962.149701
1.048345	1225.765299
2.294287	2182.348406
2.523033	1919.637544
0.610140	487.131450
1.716933	1796.721232
0.972028	1176.889652
0.668983	718.884463
5.874735	4570.148171
1.663701	1219.705874
4.143611	3993.655717
1.415595	1282.165249
3.291723	3271.032045
3.787231	3833.252154
2.826480	2261.588754
2.253367	2829.520823
2.007485	1848.903513
1.763137	2229.102715
5.196894	3751.478611
4.304651	4489.656511
5.580155	4784.227755
0.932402	1018.844057
3.593413	3783.314899
5.288391	5046.005291
1.148488	1287.761817
0.684142	454.842368
3.659788	3545.172086
2.721447	2462.287564
4.394978	4167.362891
0.992738	1440.777010
4.034702	3989.858698
1.223229	1115.289422
1.083260	454.440483
1.085540	888.808527
4.179427	4343.605021
3.198009	3602.144001
2.479520	2134.807245
1.800964	1570.252594
4.696726	4871.130810
1.930809	1786.450645
4.194974	3843.817348
2.117879	2742.655452
1.870485	1880.159647
2.215716	1987.056978
1.586119	2030.442683
3.702508	3390.803938
2.388394	2239.860272
1.334319	1579.764475
4.902053	4178.581913
1.897420	1698.114639
2.573831	2302.207265
4.967832	4151.431482
2.974059	2639.054602
0.902929	1012.076538
5.304108	4453.574413
2.992436	2845.466542
1.710563	1409.590770
0.990812	1463.260465
4.025604	3898.230027
2.952139	2789.268316
2.527044	2292.398523
4.848766	4092.509900
3.986136	3949.372176
1.038179	951.689645
1.624273	1623.392033
1.393291	1728.252929
3.678322	3526.788566
0.504020	548.511690
2.699142	2801.933908
3.802441	2794.042431
4.692852	3872.333267
1.737522	1395.155352
4.231016	3782.485724
0.877590	606.547961
4.432946	3958.981254
0.944980	954.971184
1.949823	2218.256024
4.049611	4029.902699
1.031514	982.367706
1.323588	1145.683404
3.538680	3350.740829
3.524750	3477.609107
3.064621	2821.289542
3.365149	2823.000249
2.569966	2065.853258
1.405290	1364.696802
1.751149	1462.415483
1.149832	1151.337206
4.986926	4697.291969
2.765292	3024.083508
1.963871	2057.725260
2.212879	2281.043449
