# z_decected 	 DM_EG_detected
0.369365	466.309294
0.650802	461.461218
0.271488	436.545119
0.127910	44.765601
0.095525	154.111000
0.345336	350.492340
0.223128	339.705512
0.467971	353.552971
0.097477	41.663252
0.222515	142.099806
0.139674	182.231996
0.060874	144.048635
0.309501	460.351239
0.121635	133.609948
0.089618	113.458785
0.303787	368.857600
0.212728	325.900410
0.084627	145.047827
0.171432	71.272265
0.195048	249.077135
0.431195	600.365628
0.460954	109.961101
0.087417	51.552770
0.222762	159.274072
0.872670	618.498945
0.357649	364.343103
0.407459	208.758187
0.076353	176.984130
0.708931	918.013093
0.118768	321.396868
0.132620	146.977233
0.132464	96.390739
0.103543	275.477272
0.186869	43.102302
0.032656	29.226166
0.188490	217.328717
0.135446	210.776952
0.137438	32.677807
0.207536	630.613232
0.036820	101.387877
0.119597	53.338574
0.069819	39.040812
0.222446	186.245815
0.104742	105.300934
0.072313	50.045467
0.317643	403.358434
0.318844	551.272803
0.284899	238.401318
0.352901	308.231020
0.070794	112.772935
0.439944	488.225684
0.504631	781.203016
0.313979	379.857049
0.372937	565.121332
0.594500	458.451360
0.286222	423.948210
0.280639	557.674355
0.613351	233.094154
0.147189	270.728852
0.730008	560.824148
0.117158	109.110533
0.154944	247.375182
0.122353	168.958261
0.465564	468.516859
0.291029	396.252226
0.671682	698.126975
0.467018	604.946818
0.096654	163.221964
0.193975	362.441550
0.507669	438.394982
0.691831	638.518054
0.458972	684.497084
0.166030	211.672493
0.118442	152.166951
0.161876	150.343333
0.078226	130.635849
0.146090	275.218928
0.271833	134.060166
0.073933	29.626813
0.211562	138.541922
0.113382	50.133874
0.165812	180.438539
0.391463	312.391995
0.364572	247.078571
0.399401	585.872704
0.239024	331.266047
0.252607	360.289718
0.145020	348.206190
0.044542	30.572671
0.228426	160.640139
0.392314	428.143096
0.191921	141.225264
0.087196	38.132653
0.244624	154.294712
0.520883	591.074268
0.104714	128.114874
0.131825	155.490536
0.138987	127.939886
0.496666	564.934000
0.228593	127.132779
0.963383	1240.682689
0.053593	99.625133
0.175796	324.704355
0.528930	438.430993
0.061036	34.321334
0.131527	105.755318
0.156367	137.367525
0.179427	100.404744
0.236774	364.904230
0.070133	93.934478
0.241688	304.861542
0.142285	87.116657
0.246525	175.412608
0.220202	289.545145
0.070286	139.323506
0.127394	43.193586
0.108900	278.338715
0.206281	417.713649
0.474609	711.180281
0.063251	97.674370
0.151958	161.844003
0.325142	512.892050
0.798395	835.227752
0.191466	459.692482
0.233515	526.060669
0.332604	336.807661
0.494426	649.192496
0.063522	34.595933
0.183309	213.169092
0.231221	411.548398
0.050743	93.156547
0.136078	177.422935
0.294086	754.120443
0.052969	14.632157
0.528268	290.173021
0.217701	293.382781
0.090636	193.881194
0.394177	242.771805
0.386583	180.563799
0.431790	594.184694
0.074145	178.395976
0.119380	201.181465
0.156661	114.473160
0.269106	154.738205
0.179101	117.662550
0.129076	264.989905
0.229655	241.216981
0.169800	125.829353
0.196518	328.785467
0.057444	142.416576
0.344135	388.802632
0.301837	348.585628
0.049939	106.379438
0.101980	196.875899
0.503082	586.843815
0.212245	102.148726
0.090204	168.150063
0.233592	144.483407
0.134884	58.611566
0.768991	1016.284658
0.325126	433.215506
0.194392	180.535618
0.480914	348.409639
0.349686	327.192810
0.277144	109.869907
0.125402	189.497098
0.388276	467.130042
0.649993	1175.507007
0.119104	108.797512
0.429840	310.450916
0.226843	33.315341
0.977210	705.293660
0.159892	127.335314
0.145049	160.844204
0.139567	269.707418
0.407925	573.969672
0.102162	209.993264
0.300037	356.727869
0.504291	751.346888
0.076809	62.444019
0.164235	405.376974
0.338331	223.401582
0.420243	164.742854
0.303843	111.815883
0.095735	145.246213
0.681234	212.763263
0.097833	205.003055
0.427571	400.141341
0.070559	65.723112
0.097355	167.404078
0.437043	176.275864
0.324459	270.958410
0.193502	429.397910
0.121507	28.076153
0.277818	402.461832
0.116408	112.778264
0.229341	276.361409
0.040154	101.760874
0.303467	256.077644
0.153862	74.024557
0.434368	584.944689
0.191425	173.890082
0.225152	189.617323
0.064163	173.835284
0.185411	196.184294
0.535214	442.658362
0.106713	45.680212
0.265647	304.865323
0.096802	121.536482
0.643498	950.182300
0.608566	640.944713
0.440073	393.486363
0.440874	481.420911
0.170969	420.314233
0.320943	380.222536
0.100281	172.251543
0.375660	384.807903
0.315286	184.743739
0.332402	345.316604
0.199469	257.889117
0.134248	119.314434
0.193553	3.263683
0.122077	103.590808
0.153725	84.937928
0.466805	289.499254
0.595610	899.267513
0.395488	386.190775
