# ra_cadidates 	 dec_candidates
2.221905	-0.126677
2.926850	-0.000698
-0.979393	-0.210502
-0.043338	-0.125798
-2.157154	0.013786
0.632331	-0.158372
-0.019343	-0.176267
-0.517133	-0.042058
1.666276	0.028439
-0.634003	0.051629
-1.367773	-0.101863
-0.461882	-0.087048
1.303679	-0.153189
1.951971	-0.058057
2.215596	-0.040421
0.328473	0.014125
-2.113077	-0.109029
3.120748	-0.148819
-3.013251	-0.028900
0.806310	-0.165702
0.275863	0.007763
-2.623128	-0.140048
2.577488	-0.187187
2.846379	-0.167003
-1.133255	-0.157642
-2.692165	-0.052194
-3.122874	-0.103699
2.674037	-0.153009
1.963970	0.046753
1.211394	-0.058971
2.516776	-0.025115
