# z	DM_HG
1.399648	70.396186
2.600428	37.318000
3.490804	20.388405
3.169816	33.412346
1.507569	50.737179
5.466353	11.231056
3.638771	13.184704
2.624649	102.935013
2.908632	35.976271
2.038558	86.865392
1.390544	12.649031
1.790085	32.973318
3.771070	72.977995
0.355930	6.318080
0.899613	4.760894
0.578461	24.127944
0.548239	7.563180
4.508156	6.264440
3.423625	76.915568
2.264435	60.979273
0.824557	24.895434
2.339654	54.176358
2.261441	16.276158
1.118800	42.003779
2.096267	10.945978
1.954616	169.909923
2.930069	64.934713
3.031903	9.342564
0.574547	14.231879
1.861479	5.053315
2.982635	24.322223
2.390232	37.776286
4.516855	19.634006
3.161385	7.108006
1.080561	63.500918
0.703526	47.051778
3.071537	209.276375
0.456369	14.452366
2.777112	29.556980
5.308315	39.761522
2.726339	49.204868
1.914090	10.736879
3.076271	39.203851
2.197124	88.073269
2.583482	13.581754
5.321389	37.098387
1.906028	23.759001
5.536785	9.851170
4.957054	9.999448
1.201918	19.971379
0.697823	8.205109
0.836926	47.664061
0.391213	35.862053
0.810168	21.772084
3.300507	13.475995
0.706440	46.752571
1.651148	144.375231
4.419948	42.634402
0.432327	8.200150
4.178613	35.333188
1.514580	55.839962
0.908008	58.807327
3.381835	41.253835
2.999000	6.848742
4.699147	56.177362
3.620460	15.042507
4.095502	14.947662
1.515236	17.154490
1.134486	51.664588
3.722487	14.275944
4.120651	7.309505
5.881432	6.980956
2.010585	16.534969
1.851478	41.693014
3.899227	34.896351
1.732711	23.328412
5.209511	4.341410
4.533167	11.179771
2.076502	30.102064
3.724197	1.347979
3.748787	72.228306
0.846706	47.353257
4.930308	26.877918
2.399604	28.418512
4.271718	15.792133
1.655136	10.421914
4.863977	8.576256
1.918119	20.197433
0.318325	16.197198
4.957355	37.335689
0.796631	46.327187
1.652403	13.886179
5.413739	29.558391
5.419674	5.832931
2.716396	61.771561
3.014441	58.892625
2.156263	61.025058
1.556123	83.503518
1.687217	39.894986
3.239747	41.113974
3.734243	8.209966
4.007759	28.983128
3.993524	16.371450
0.796284	23.500064
2.351899	63.481506
0.639944	29.262786
2.601851	62.115890
2.127718	258.520579
4.791629	6.031467
1.770887	22.148484
0.903608	28.417861
1.005102	9.178988
3.795969	71.798132
2.942427	76.239423
0.838367	18.436013
0.765267	12.538570
3.407324	9.587540
0.713800	30.817219
4.235709	39.559128
3.439371	9.662083
0.752986	37.447235
0.768498	16.435880
5.834175	7.493727
1.860160	11.009336
1.846183	62.627098
4.165855	36.428688
5.383264	4.322638
5.826425	54.791609
3.740967	11.144671
1.867838	24.039108
0.762579	25.225146
3.904398	58.049469
2.643907	6.125811
2.057182	12.156944
4.966699	22.342387
0.879894	46.151561
2.344056	12.024223
0.324160	14.244661
2.240985	16.495249
0.633526	26.299644
0.910621	11.315314
0.905450	35.376481
3.108722	14.156904
3.692156	15.631155
2.765178	22.687626
5.547839	25.252870
1.862475	24.257183
1.528671	99.472598
4.620887	29.708535
1.303086	25.153422
5.559695	16.804966
0.332935	5.348824
5.635727	22.766037
0.562370	8.363162
4.823266	3.408218
2.500629	51.695815
5.911803	8.744507
0.718600	102.077973
2.622280	98.669474
5.629084	25.307974
2.479667	14.234576
3.001427	23.911553
3.375911	33.128469
2.181606	34.877389
2.991639	37.162141
2.769861	121.668479
4.917047	15.098734
0.575347	69.159372
1.511325	33.918458
5.417543	7.827068
4.815150	23.702586
2.186264	7.730253
2.952453	47.770130
1.498259	67.876600
1.173823	3.621380
2.220007	19.507039
1.780129	114.826213
2.766600	36.356777
0.736676	28.145509
5.688193	23.707722
5.828968	49.026580
3.390393	82.678528
2.539198	31.719544
1.616162	27.660180
4.173459	42.869739
3.310608	36.459619
1.079373	44.904387
5.010971	30.681048
4.240989	58.515076
5.410890	11.238085
3.560595	52.220403
2.917411	31.366297
2.033107	44.204452
5.229852	14.580057
4.598846	4.011004
0.574067	4.200947
0.455329	9.140699
1.868626	57.497586
4.148760	6.442854
5.841918	5.377631
1.033410	5.679940
2.818883	64.900967
1.885768	7.937995
5.636138	13.255948
4.397348	69.265092
4.366515	0.749217
2.241123	47.773743
2.019385	6.968961
1.483780	27.550488
0.633897	3.591716
4.587239	12.642668
4.166629	27.865200
5.996422	15.670261
5.957590	10.823277
2.629762	24.160468
3.847368	15.892642
5.356576	17.665136
4.459433	27.752286
1.389156	88.645617
2.164969	34.355371
0.951535	23.191383
5.457382	12.462302
2.880064	146.988715
1.321382	35.376452
3.235058	11.053223
2.941957	8.609075
1.798420	17.896373
0.889468	30.348573
3.234328	14.167212
2.467024	57.900138
3.870529	16.855655
2.466372	35.874848
4.480588	35.675034
2.613066	16.665049
2.656012	16.365392
4.691854	35.214257
1.974274	9.365838
0.970477	5.980722
0.472379	40.594571
3.752786	13.443833
2.953381	27.168176
3.426190	5.662562
1.264495	5.460052
0.979612	7.575981
0.357410	11.063055
1.769646	41.045886
2.797753	73.093364
1.930021	56.881353
2.111075	65.954071
4.945635	23.929996
1.760819	24.702654
2.438568	45.330394
3.950592	68.431214
1.946894	6.196984
2.962719	124.110417
4.566927	23.026759
5.407856	6.199054
1.020698	72.386110
5.166852	22.669990
2.341836	53.302114
1.428669	33.177321
2.200824	97.142926
5.754718	20.690642
2.344025	33.173458
1.687542	25.769167
3.022814	38.320095
1.363059	10.874476
0.728128	18.791028
0.950439	23.875742
0.947168	6.299995
1.039042	27.066261
0.989097	31.232567
3.063139	30.509556
1.150873	5.239178
1.751040	26.655000
4.875824	11.464582
2.263530	11.929357
3.211407	24.006136
1.115528	18.354448
1.189104	31.716419
0.549062	4.795048
1.102951	51.424967
1.502668	9.353929
1.132900	35.048219
0.785438	4.493310
0.917875	46.192776
2.207720	46.956429
1.240378	53.872248
1.821736	16.974826
2.391475	3.581101
3.344011	26.080259
0.539832	29.899615
4.065231	67.915385
2.993457	49.772947
0.754821	14.612763
4.664590	30.508088
5.109182	26.770415
0.657644	39.554397
1.496424	5.948982
4.115887	27.539159
3.706821	2.683828
1.160595	37.090336
1.251353	3.608054
1.845529	13.936770
2.308873	44.662959
2.942619	36.241404
1.839540	119.709353
2.215105	66.199268
3.701591	11.357575
0.523863	18.888048
1.407603	38.909868
3.483078	13.898804
4.861021	8.292285
2.428214	25.912441
2.520845	34.854830
0.863434	18.170901
2.151985	44.214237
2.523161	58.538360
1.371482	37.463152
1.468626	21.061946
1.871799	53.510885
0.406870	24.398302
1.662680	16.256069
1.258985	26.340105
1.682861	13.317939
0.914392	22.591641
4.817580	32.970732
2.816176	54.188037
3.277753	129.541986
3.990288	79.680295
2.369535	36.509212
0.777657	29.950620
2.543869	9.525200
2.782409	30.567183
3.688159	19.053161
2.087335	46.988416
0.945340	21.519395
1.521596	61.316963
1.817194	76.687133
3.090636	23.542351
2.703454	23.772225
1.790556	9.180422
5.832665	24.241629
2.878014	56.482237
1.352485	32.675979
0.841122	20.508987
1.042662	23.545047
1.384117	9.523134
1.072121	18.642011
1.168116	38.748536
1.526416	13.597503
1.119436	30.053822
4.875608	7.874924
0.747981	11.100650
2.486090	41.099746
2.001728	119.576934
5.782745	14.544003
0.883313	27.873277
1.952060	36.850164
5.631018	7.370193
4.594024	12.810677
4.198613	13.418266
1.427429	11.522518
1.110210	31.294621
3.217587	27.859228
5.195324	15.783045
2.636089	46.627376
2.707509	74.333743
1.507734	179.684931
3.850872	9.932926
1.169867	133.702228
1.668633	14.768174
2.062090	20.176009
2.410076	37.851658
1.371262	34.772888
0.894635	13.015560
2.902942	14.668678
1.539346	58.720458
2.754650	52.018154
1.048345	12.541283
2.294287	17.295703
2.523033	44.072230
0.610140	2.299111
1.716933	132.731749
0.972028	30.852328
0.668983	8.082082
5.874735	25.357975
1.663701	33.088563
4.143611	9.826242
1.415595	22.214958
3.291723	57.049660
3.787231	26.592228
2.826480	43.973426
2.253367	6.212323
2.007485	27.007646
1.763137	13.473121
5.196894	19.343381
4.304651	49.159839
5.580155	32.055894
0.932402	52.814594
3.593413	39.659270
5.288391	28.429863
1.148488	48.267411
0.684142	7.792985
3.659788	53.195046
2.721447	38.208449
4.394978	33.592350
0.992738	13.419378
4.034702	4.875163
1.223229	61.819713
1.083260	4.631078
1.085540	84.241465
4.179427	83.280895
3.198009	37.110585
2.479520	17.164693
1.800964	129.602432
4.696726	32.972704
1.930809	8.699016
4.194974	26.439737
2.117879	58.589551
1.870485	25.489174
2.215716	23.091022
1.586119	45.563729
3.702508	9.234514
2.388394	11.474021
1.334319	5.773825
4.902053	25.487567
1.897420	31.394995
2.573831	31.693327
4.967832	16.471305
2.974059	96.978378
0.902929	32.077063
5.304108	21.560146
2.992436	16.042418
1.710563	29.832089
0.990812	23.421275
4.025604	11.702342
2.952139	2.339761
2.527044	12.643069
4.848766	21.450787
3.986136	17.512752
1.038179	11.929673
1.624273	18.741898
1.393291	34.291845
3.678322	26.095387
0.504020	13.304203
2.699142	6.713455
3.802441	15.739903
4.692852	40.643292
1.737522	63.083771
4.231016	3.288609
0.877590	19.054523
4.432946	5.289639
0.944980	24.842101
1.949823	32.759288
4.049611	20.182711
1.031514	26.312758
1.323588	1.933449
3.538680	8.483545
3.524750	30.115945
3.064621	43.480695
3.365149	23.659931
2.569966	36.548778
1.405290	4.637497
1.751149	9.087567
1.149832	9.447273
4.986926	37.812495
2.765292	23.223397
1.963871	52.454494
2.212879	25.423064
5.383639	26.748480
1.044524	51.226908
2.779369	40.172903
2.402426	18.296205
2.907254	180.156072
0.390242	17.917254
4.651765	20.472731
5.223543	52.897062
2.676154	173.549759
3.381317	20.498788
5.125506	12.581599
3.445463	33.259172
1.041451	26.113018
2.730323	30.498327
2.882836	58.750751
2.056813	31.787108
3.629345	6.989084
5.246847	2.484218
5.156501	3.575630
2.166196	78.227529
0.888175	20.479503
5.812385	11.266254
4.371129	36.289962
0.933846	40.899338
5.108877	9.028523
4.632219	37.994465
2.460384	78.808755
2.804547	154.881653
1.956579	15.807839
0.625567	18.721976
1.711656	12.039939
4.090818	147.271852
0.230272	25.012563
1.705294	41.213361
1.953293	4.586470
2.545207	9.691558
5.099018	23.619164
1.753603	65.472816
1.755897	47.985130
3.636201	26.883479
2.171927	3.701378
1.306745	24.041514
2.172850	13.616590
0.996911	6.612051
1.130595	293.116928
2.369208	13.618390
2.035847	15.777226
5.049351	55.780493
1.814563	16.879886
2.751446	32.567332
3.016726	9.522270
0.342844	8.231858
3.188622	3.951804
1.136690	40.555071
5.535434	9.149431
1.026747	32.763933
2.018604	45.318119
0.770757	15.740415
5.960569	16.245619
2.386072	62.006723
2.825201	24.397703
0.686930	23.830177
3.718127	37.492286
1.253376	2.569581
4.887717	14.252067
1.236030	54.734954
1.183237	18.557037
0.523038	69.009941
2.255456	23.673598
2.674748	23.692792
0.680343	6.637936
3.893000	105.945375
2.176386	16.214982
2.485539	2.862210
2.124562	35.129017
1.963522	14.236140
2.649807	12.397848
1.051657	40.493665
1.151050	4.981841
4.561966	8.618164
5.371060	20.538442
1.856453	26.226299
1.474089	24.085498
3.080151	14.056973
1.995109	56.183621
0.448192	9.555269
1.055097	12.250129
3.499357	15.022167
3.162675	57.079825
0.460551	50.186402
1.297197	12.377867
1.330196	9.138109
3.236159	74.747296
0.403877	11.418461
0.850792	36.786506
4.068977	23.953279
1.138569	10.261446
3.128256	54.133451
1.355948	73.651132
0.831323	4.174338
1.374024	34.256207
3.538770	10.117069
4.510148	20.296605
4.301475	45.240886
1.949414	20.709486
3.214408	33.460219
1.235464	28.484465
1.555892	55.846246
4.871581	58.577509
0.341886	47.336407
