# z	DM_IGM
0.682053	460.240074
0.277106	336.717519
0.298100	196.079187
0.573850	786.928087
0.260502	436.917581
0.362383	408.605833
0.442128	933.609624
0.407930	435.519855
0.819296	1061.066393
0.154526	151.935300
0.074830	46.222929
0.187564	190.463638
0.436195	648.235639
0.149580	161.809962
0.580017	573.959136
0.436996	647.433848
0.445363	309.993435
0.746613	795.171764
0.978661	1064.949504
