# z	DM
1.861199	2036.540207
5.420841	4514.753498
3.600639	3039.304418
2.841747	2853.066306
1.054592	1071.108978
1.054501	1352.372443
0.642610	1026.144543
4.599818	3959.711791
2.854220	2652.617098
3.450570	3167.683867
0.411084	105.648782
5.636085	4897.882946
4.319180	3825.174224
1.262224	1328.097558
1.150669	1378.640894
1.156487	1228.730147
1.596665	2103.737828
2.487205	2540.397927
2.088498	2300.101690
1.548861	1582.363969
2.909316	3358.459835
0.991666	1222.422125
1.552216	2177.680760
1.829749	2439.989714
2.187990	1312.897842
3.961500	3751.180223
1.216101	1750.567730
2.439667	1837.059117
2.810259	3021.928527
0.580956	510.859016
2.887098	2968.083885
1.108860	1198.368781
0.677160	765.798195
5.400966	4503.564197
5.587041	4317.390595
4.132434	4150.403789
1.598034	1941.323944
0.823873	815.208462
3.307687	3436.462203
2.122055	2381.996954
0.923452	946.620470
2.355210	1940.716112
0.509493	422.792871
4.995353	4865.202220
1.430612	1251.981730
3.182895	2688.286767
1.624232	1177.774140
2.465940	2173.052951
2.588606	3175.619050
1.161821	979.497157
5.632335	4710.906060
3.890228	3262.097829
5.300592	4553.693774
4.857478	4307.084917
2.837906	3067.602689
5.119225	4376.736949
0.784524	1031.969273
1.202619	1359.441950
0.574116	772.201414
1.674782	2257.177486
1.916071	1879.898543
1.476288	1832.258222
4.289719	4167.334859
1.793054	1839.631345
1.511220	2264.954150
2.569834	1928.765753
0.997169	1025.610728
4.085924	4048.355456
0.722087	602.477025
5.837182	4638.700189
3.870016	4035.710794
1.212604	1356.189646
0.245944	338.739326
4.186227	3698.881451
3.443130	3286.673932
3.581515	3663.476111
3.863224	3532.921810
0.719749	589.049121
1.799574	1572.740365
0.898794	613.329780
4.573284	3819.963272
2.969100	2617.817276
1.695562	1300.391062
0.669881	595.970018
1.621538	1021.679709
1.674234	1588.159810
3.585341	3319.079244
3.045178	2629.929736
4.787131	4559.220217
2.256086	2410.895630
0.913722	833.502874
3.482429	3577.929208
3.791023	3460.039680
2.657636	2376.847351
3.861114	3515.330339
2.349168	1981.918177
2.478010	2562.262428
2.070610	1881.434099
0.448433	122.615372
0.866388	1226.078071
0.490289	380.423312
3.038991	3490.629943
1.634020	1818.433800
2.414350	2150.378412
4.978381	3694.066166
1.396202	2033.109431
2.001672	2209.266509
3.755573	3506.791842
1.321945	1802.300630
0.733237	674.284902
1.543449	1403.919916
1.074146	1344.023274
5.198623	4206.137230
4.130343	3098.783171
3.022829	2727.198478
4.645933	4696.316304
4.096930	3344.320339
1.168127	950.118358
4.836375	4614.571841
2.554230	2376.841778
4.125212	4410.154277
4.869291	4243.846346
1.647540	1752.230942
0.875227	1059.554452
1.318818	1434.080476
2.068854	2323.964481
4.205885	3997.679201
4.552932	3753.762130
0.268320	182.266053
2.424057	2835.474449
2.029768	2321.845465
1.297689	1300.094828
0.914804	1010.105080
1.720727	1629.646379
5.336750	4687.049536
1.666860	1838.545709
2.460170	1654.353273
3.419744	4022.327529
1.819287	2078.422576
5.657751	5679.240794
5.550938	4295.675732
1.405229	2009.502610
2.364291	2703.556252
1.584281	2066.601857
1.525486	1411.178109
0.525119	429.859652
2.897494	3106.579832
2.388211	2435.194853
0.608307	717.564892
1.502873	1934.260864
4.985139	4752.728628
1.360944	1018.887771
1.012385	812.655146
2.330238	2584.109721
5.822176	4678.377936
1.369978	1729.095551
3.237551	3010.534382
3.796712	3197.702227
1.353973	1030.976886
3.576470	3598.816158
1.835200	2247.767576
3.016948	2514.722271
3.023505	2600.872479
2.537712	2381.650291
0.792325	594.289520
4.342096	4279.513865
1.657850	1773.251286
1.167938	1254.623294
0.548512	289.926982
2.802632	2906.286219
3.268834	3631.530956
0.376681	277.822854
2.430073	2626.217069
1.313600	1334.105368
3.086562	2648.683462
1.123116	984.864508
3.347231	2873.305135
1.908494	2164.041694
5.271496	4334.773533
0.984057	854.366922
1.733699	1888.383408
0.889128	948.643545
5.147639	4703.970120
4.697964	3883.071230
1.427570	1491.683138
3.168618	2317.554198
4.199770	3724.761738
2.628666	2829.907759
2.509546	2436.428499
1.369242	1383.862978
0.804437	709.567881
4.879834	4396.640039
4.910032	4012.773434
3.021209	2646.628464
1.726041	1832.303709
1.764429	1765.674502
3.562093	2912.716942
4.878844	4362.820188
4.785976	4630.508231
3.923692	3477.871096
3.069427	2755.370857
0.765413	827.580260
1.075673	816.123629
4.892425	4813.400275
2.881369	2353.727271
0.298686	96.000192
0.839824	540.689727
3.188421	3379.217637
0.238035	277.756124
1.072597	1607.252912
2.598109	3102.986133
3.352919	3439.397702
3.123909	2841.996700
1.305528	1237.171001
3.475840	3197.537115
1.352566	1027.447727
1.675040	1815.881923
3.695108	4135.987846
3.111050	3134.550466
4.455907	3865.758032
3.155339	3207.135900
2.691483	2482.497389
0.806886	637.651115
1.834941	2050.649915
1.453935	1321.276487
1.376986	1326.959138
5.672034	4890.592394
1.933367	1752.386278
4.831625	4228.053656
3.010708	3173.125747
4.031359	3458.836429
2.388026	3031.460667
2.733338	2457.833923
2.343587	2817.103401
1.199914	1116.565079
3.539937	2943.896584
1.510629	1816.792701
0.440246	462.750299
3.088200	3910.135651
1.133271	1197.699086
5.310729	4204.847825
5.456034	4920.369830
5.049533	5176.859927
1.844324	1722.637173
0.366177	257.516444
5.184500	4567.371716
2.073217	2170.119009
5.598710	4166.225877
5.564192	5142.590345
4.487528	3937.410662
1.560664	2337.019564
1.902115	1467.206953
4.471850	3991.592241
1.643528	1552.758543
1.105026	1189.413084
2.636271	2486.078058
5.265481	4972.176420
3.377594	3197.062124
2.699974	3219.873793
0.821778	728.908675
2.925682	3499.570070
5.875885	4542.526131
0.993938	1076.669541
2.458090	2513.727737
4.698265	4316.036031
3.657486	3998.317541
3.383507	3486.557298
3.416499	2782.052661
1.803482	1609.446814
1.557521	1945.433895
4.139723	3471.965880
4.145422	4049.082322
4.607596	3771.374684
5.033579	4521.298698
2.426716	2857.355162
2.383076	2658.592202
4.056986	3250.067222
3.112875	2594.458489
3.413364	3291.460707
4.038558	3889.386234
4.812768	3984.741150
1.722154	1447.866964
1.865225	2397.330474
0.808199	626.858445
2.740090	2533.172933
0.519269	466.970293
2.228024	2176.735534
2.569594	2637.265305
1.531703	1515.634205
2.802333	2477.924438
0.484087	364.666552
0.527950	893.657069
4.241483	4449.506486
1.806150	1900.213171
0.943297	1026.872248
2.475790	2231.709566
3.854346	3975.022326
1.274873	1731.110255
2.966951	2951.152104
0.770747	955.119325
0.609387	438.104583
2.517360	2674.491221
2.560237	3106.202008
3.044489	2777.015212
3.562954	3756.631520
5.705278	4498.781342
2.448948	2509.864278
1.665943	1778.753046
4.034107	4293.576450
1.474407	1590.989669
2.117208	2084.255602
0.739953	781.378410
0.447931	422.198686
5.553208	4589.946889
4.347548	4369.349996
3.377261	3549.721191
1.995979	2118.928599
1.119142	1041.658621
1.056169	887.935138
1.399648	1198.228525
2.600428	2407.973925
3.490804	3051.732616
3.169816	2344.391776
1.507569	1283.308855
5.466353	4323.513768
3.638771	3352.529238
2.624649	2364.964149
2.908632	2529.968152
2.038558	1980.838821
1.390544	1513.387610
1.790085	1650.755150
3.771070	3621.316874
0.355930	237.901860
0.899613	1425.476592
0.578461	573.337906
0.548239	425.940276
4.508156	4132.803376
3.423625	2951.535059
2.264435	2263.438548
0.824557	840.991501
2.339654	1971.196519
2.261441	3098.146640
1.118800	937.560829
2.096267	1867.978738
1.954616	2220.932286
2.930069	2711.135315
3.031903	2501.976106
0.574547	343.186509
1.861479	2097.410341
2.982635	3242.484787
2.390232	2438.984342
4.516855	3995.833519
3.161385	3715.614397
1.080561	774.593950
0.703526	986.410523
3.071537	3873.212887
0.456369	584.042253
2.777112	3056.795156
5.308315	4187.834020
2.726339	3174.639194
1.914090	2418.572822
3.076271	3165.903725
2.197124	2710.410546
2.583482	2566.671740
5.321389	4580.591292
1.906028	1389.722522
5.536785	5199.501302
4.957054	4556.760175
1.201918	1702.205224
0.697823	914.414594
0.836926	864.581798
0.391213	186.072016
0.810168	811.192946
3.300507	2900.612115
0.706440	423.945664
1.651148	1769.068597
4.419948	3739.041015
0.432327	563.527951
4.178613	3953.387762
1.514580	1203.675065
0.908008	1541.465743
3.381835	3851.210024
2.999000	2814.321635
4.699147	3875.786343
3.620460	3658.888400
4.095502	4021.365142
1.515236	1680.693061
1.134486	1472.910901
3.722487	3723.693806
4.120651	3287.273382
5.881432	5023.360413
2.010585	2148.892481
1.851478	1681.968919
3.899227	3542.840153
1.732711	2006.819187
5.209511	4439.138332
4.533167	4039.743502
2.076502	1932.741727
3.724197	3948.440081
3.748787	3539.455331
0.846706	913.802366
4.930308	4164.601235
2.399604	2259.776961
4.271718	3898.222581
1.655136	1659.963877
4.863977	4126.322397
1.918119	1452.084142
0.318325	336.348577
4.957355	3938.324550
0.796631	796.287349
1.652403	1881.779036
5.413739	4624.681400
5.419674	4944.461021
2.716396	2495.130304
3.014441	2875.826558
2.156263	2255.538904
1.556123	1617.095553
1.687217	2392.845716
3.239747	3616.950758
3.734243	3937.106028
4.007759	3303.954584
3.993524	3440.738683
0.796284	1031.319584
2.351899	2883.553037
0.639944	1169.813724
2.601851	2837.730083
2.127718	2031.547612
4.791629	4410.964155
1.770887	1987.967237
0.903608	1059.527838
1.005102	1130.877007
3.795969	3813.250171
2.942427	2883.854288
0.838367	1015.931169
0.765267	896.532276
3.407324	2882.679465
0.713800	636.367553
4.235709	4126.604955
3.439371	3292.461243
0.752986	875.933126
0.768498	455.899745
5.834175	5099.714230
1.860160	2053.097515
1.846183	1717.518653
4.165855	3805.472376
5.383264	3801.147988
5.826425	4743.751542
3.740967	3632.483621
1.867838	2689.557355
0.762579	1190.972045
3.904398	3665.780690
2.643907	2336.181629
2.057182	2239.630772
4.966699	4422.899434
0.879894	492.837003
2.344056	2170.548927
0.324160	338.746857
2.240985	2337.018988
0.633526	432.140353
0.910621	580.276139
0.905450	1485.852655
3.108722	3237.490238
3.692156	3297.480993
2.765178	2884.411986
5.547839	4911.003197
1.862475	1960.083804
1.528671	1807.389010
4.620887	3993.560115
1.303086	1536.533203
5.559695	5173.678090
0.332935	273.653515
5.635727	4724.806464
0.562370	722.814744
4.823266	4572.345155
2.500629	2789.440485
5.911803	4348.511555
0.718600	863.096917
2.622280	2404.206990
5.629084	5083.108035
2.479667	1932.277775
3.001427	3132.437142
3.375911	2526.860199
2.181606	1921.541436
2.991639	2868.551417
2.769861	2713.784858
4.917047	4635.838707
0.575347	926.762528
1.511325	1554.851087
5.417543	5270.170010
4.815150	4503.652903
2.186264	1676.764434
2.952453	2846.634288
1.498259	1167.751193
1.173823	1266.824558
2.220007	1890.820934
1.780129	1821.807659
2.766600	2675.086900
0.736676	265.049023
5.688193	5005.693411
5.828968	4845.001095
3.390393	3610.853966
2.539198	2402.869544
1.616162	1550.126525
4.173459	3948.589992
3.310608	2859.904639
1.079373	1718.877971
5.010971	4989.144202
4.240989	3885.846720
5.410890	4182.898486
3.560595	3036.148419
2.917411	2954.783577
2.033107	1966.122993
5.229852	4149.656450
4.598846	4185.019200
0.574067	894.969398
0.455329	595.139148
1.868626	2314.118690
4.148760	3907.145137
5.841918	5223.152877
1.033410	1051.493109
2.818883	3004.944777
1.885768	1508.825919
5.636138	4952.908906
4.397348	3926.789396
4.366515	4421.953279
2.241123	2357.395329
2.019385	2547.403937
1.483780	1225.137671
0.633897	579.633913
4.587239	4155.839398
4.166629	2982.411507
5.996422	3945.434212
5.957590	4632.962348
2.629762	2549.611491
3.847368	3503.370999
5.356576	4742.100893
4.459433	3662.386151
1.389156	1499.731014
2.164969	1643.029178
0.951535	1043.102992
5.457382	4998.763112
2.880064	2510.086937
1.321382	1804.490529
3.235058	2737.457875
2.941957	3420.529943
1.798420	2027.484558
0.889468	811.626580
3.234328	2841.191308
2.467024	2658.859749
3.870529	3891.847922
2.466372	2310.081274
4.480588	3987.576363
2.613066	2580.185027
2.656012	3040.860785
4.691854	4563.752315
1.974274	2190.012438
0.970477	786.384455
0.472379	805.981900
3.752786	3214.832568
2.953381	3161.540197
3.426190	3594.413987
1.264495	958.388135
0.979612	1272.231048
0.357410	372.094646
1.769646	2133.552114
2.797753	3006.697952
1.930021	1960.259378
2.111075	2231.023756
4.945635	4113.961567
1.760819	1374.036722
2.438568	2465.559714
3.950592	4020.082557
1.946894	1400.136253
2.962719	2787.898590
4.566927	3363.091997
5.407856	5083.034813
1.020698	954.269666
5.166852	4124.436200
2.341836	2105.978327
1.428669	1657.953411
2.200824	2477.615373
5.754718	5384.410842
2.344025	2599.366276
1.687542	1199.723938
3.022814	2470.389231
1.363059	1254.516870
0.728128	785.446653
0.950439	1108.952926
0.947168	805.073115
1.039042	848.979557
0.989097	1201.183023
3.063139	2790.332058
1.150873	1088.834768
1.751040	1796.014012
4.875824	4984.177547
2.263530	2431.120679
3.211407	2975.033686
1.115528	768.530411
1.189104	1144.218094
0.549062	206.464854
1.102951	1279.686024
1.502668	1577.700719
1.132900	1003.702023
0.785438	906.651649
0.917875	1011.219609
2.207720	2175.487237
1.240378	1257.629512
1.821736	1597.631995
2.391475	2751.104740
3.344011	3367.585953
0.539832	613.000149
4.065231	3522.532129
2.993457	2681.484680
0.754821	706.788807
4.664590	4051.599706
5.109182	4740.414232
0.657644	535.648099
1.496424	1569.546944
4.115887	3100.400301
3.706821	3685.631632
1.160595	1106.986442
1.251353	1725.510057
1.845529	1654.880625
2.308873	1854.220228
2.942619	3291.076345
1.839540	2458.307255
2.215105	2716.856285
3.701591	3254.713034
0.523863	301.758034
1.407603	1308.188624
3.483078	4407.402058
4.861021	3859.018740
2.428214	2720.576947
2.520845	2222.187083
0.863434	954.974108
2.151985	2160.707047
2.523161	2366.179738
1.371482	1806.960303
1.468626	1812.052554
1.871799	1924.805717
0.406870	226.892793
1.662680	1820.603618
1.258985	918.508278
1.682861	1759.848671
0.914392	682.753170
4.817580	3786.438404
2.816176	2422.568512
3.277753	3266.340528
3.990288	3240.782975
2.369535	2115.533331
0.777657	1048.256039
2.543869	2364.307788
2.782409	2979.088215
3.688159	3028.271897
2.087335	2012.285791
