# z	DM
0.945340	939.456706
1.521596	1033.439425
1.817194	1677.289065
3.090636	2905.247747
2.703454	2397.073329
1.790556	1342.300020
5.832665	4771.802568
2.878014	3403.871298
1.352485	1703.385460
0.841122	831.251985
1.042662	1480.640194
1.384117	1146.758714
1.072121	1063.430775
1.168116	1091.109443
1.526416	1146.047315
1.119436	1032.012594
4.875608	4324.742251
0.747981	278.603136
2.486090	2095.961133
2.001728	1623.276913
5.782745	4449.071780
0.883313	943.480687
1.952060	2020.749878
5.631018	4787.168163
4.594024	4557.931919
4.198613	3791.220669
1.427429	990.373800
1.110210	1063.663007
3.217587	3207.559828
5.195324	4984.251887
2.636089	2670.284534
2.707509	2720.145916
1.507734	1785.307076
3.850872	3396.190671
1.169867	1226.091944
1.668633	1837.465322
2.062090	2135.276394
2.410076	1983.194976
1.371262	1248.029332
0.894635	869.601905
2.902942	2828.732303
1.539346	1836.067627
2.754650	2948.295375
1.048345	1219.642657
2.294287	2177.098194
2.523033	1907.127803
0.610140	485.703556
1.716933	1747.867708
0.972028	1161.244676
0.668983	714.041944
5.874735	4566.459596
1.663701	1207.283849
4.143611	3991.745339
1.415595	1272.968772
3.291723	3257.739094
3.787231	3827.697330
2.826480	2250.096882
2.253367	2827.611317
2.007485	1839.923370
1.763137	2224.226692
5.196894	3748.357147
4.304651	4480.389201
5.580155	4779.356153
0.932402	991.513000
3.593413	3774.680955
5.288391	5041.484283
1.148488	1265.296060
0.684142	450.215096
3.659788	3533.756320
2.721447	2452.020469
4.394978	4161.136295
0.992738	1434.042871
4.034702	3988.890386
1.223229	1087.483147
1.083260	452.217488
1.085540	848.415406
4.179427	4327.525849
3.198009	3593.303958
2.479520	2129.874182
1.800964	1523.981943
4.696726	4865.342801
1.930809	1783.482517
4.194974	3838.727864
2.117879	2723.863973
1.870485	1871.279903
2.215716	1979.876300
1.586119	2012.824107
3.702508	3388.840196
2.388394	2236.474001
1.334319	1577.291023
4.902053	4174.263490
1.897420	1687.279140
2.573831	2293.339100
4.967832	4148.671467
2.974059	2614.651750
0.902929	995.219863
5.304108	4450.154398
2.992436	2841.448339
1.710563	1398.584905
0.990812	1451.495779
4.025604	3895.901482
2.952139	2788.676292
2.527044	2288.813915
4.848766	4088.842326
3.986136	3945.859886
1.038179	945.836542
1.624273	1616.250284
1.393291	1713.924609
3.678322	3521.210628
0.504020	539.665926
2.699142	2800.119040
3.802441	2790.764951
4.692852	3865.193912
1.737522	1372.111236
4.231016	3781.857049
0.877590	596.399570
4.432946	3958.007632
0.944980	942.198766
1.949823	2207.150513
4.049611	4025.905814
1.031514	969.415419
1.323588	1144.851308
3.538680	3348.871664
3.524750	3470.953282
3.064621	2810.592188
3.365149	2817.580060
2.569966	2055.615408
1.405290	1362.768761
1.751149	1459.112293
1.149832	1146.942782
4.986926	4690.976124
2.765292	3017.915753
1.963871	2040.027294
2.212879	2273.130588
5.383639	4857.540529
1.044524	1160.054069
2.779369	3223.509342
2.402426	2622.497892
2.907254	2516.022237
0.390242	324.999763
4.651765	4535.354431
5.223543	4645.814745
2.676154	2798.916888
3.381317	3778.242662
5.125506	4367.462605
3.445463	3655.806859
1.041451	445.326566
2.730323	2402.624095
2.882836	3277.451010
2.056813	1983.763781
3.629345	3643.994173
5.246847	4667.936556
5.156501	4994.189000
2.166196	2397.152010
0.888175	551.900478
5.812385	4202.076933
4.371129	3959.394546
0.933846	668.105102
5.108877	4566.032340
4.632219	3600.158265
2.460384	2454.813148
2.804547	2799.694903
1.956579	2050.536589
0.625567	663.673467
1.711656	1787.026745
4.090818	3742.735832
0.230272	306.624270
1.705294	1489.205043
1.953293	2135.414170
2.545207	3041.539966
5.099018	5310.042758
1.753603	1935.477929
1.755897	1961.043027
3.636201	3420.542104
2.171927	2306.914758
1.306745	1304.886141
2.172850	2294.644348
0.996911	1071.530522
1.130595	1406.391232
2.369208	2527.898645
2.035847	1876.434429
5.049351	4050.162707
1.814563	2053.569009
2.751446	2790.346198
3.016726	2938.969828
0.342844	344.946909
3.188622	3238.361914
1.136690	1271.516830
5.535434	5142.199238
1.026747	796.366913
2.018604	2472.369066
0.770757	740.361632
5.960569	4901.351890
2.386072	2691.807284
2.825201	2512.559218
0.686930	848.893348
3.718127	3531.911879
1.253376	1218.936125
4.887717	4012.229549
1.236030	1368.367248
1.183237	651.073570
0.523038	639.601069
2.255456	2462.930457
2.674748	2185.816125
0.680343	306.937721
3.893000	3803.797897
2.176386	2459.541328
2.485539	2053.973717
2.124562	2127.382975
1.963522	1857.145508
2.649807	2692.624873
1.051657	1447.563949
1.151050	1935.409720
4.561966	3997.841359
5.371060	4666.471363
1.856453	1675.691889
1.474089	1747.098415
3.080151	2782.401953
1.995109	1757.213642
0.448192	453.366627
1.055097	1277.215975
3.499357	3094.911192
3.162675	3367.957272
0.460551	455.901937
1.297197	1310.852878
1.330196	1654.501400
3.236159	3051.222819
0.403877	481.775163
0.850792	743.291106
4.068977	3463.791237
1.138569	1205.799895
3.128256	3099.087668
1.355948	1632.692234
0.831323	768.005273
1.374024	1242.257490
3.538770	3297.134315
4.510148	3839.927183
4.301475	3516.216535
1.949414	2266.958764
3.214408	3337.339203
1.235464	1074.999893
1.555892	1668.432168
4.871581	4456.990973
0.341886	378.545446
0.771456	854.501834
1.246030	1204.747536
0.456519	345.264685
1.149234	1291.338670
2.763559	3225.716354
2.045900	1625.656823
4.837421	4265.132757
4.201477	3609.117331
1.736526	2069.475054
1.432948	1482.737839
1.881121	1857.294453
2.799639	2226.759047
1.464336	1226.770994
2.973589	2418.886946
1.997805	1857.163983
2.613730	2178.415223
2.105558	2371.904554
1.560726	1697.694500
5.396283	4351.933287
3.810290	3288.685726
0.994050	556.449327
4.619743	3872.462438
2.321462	2195.331940
4.854912	5063.946262
4.068526	3569.665988
2.061188	1783.090609
0.426118	521.111006
1.466568	1281.109049
2.564885	2368.378456
3.023229	3181.087454
1.427374	1760.454927
0.991135	1485.770089
4.339104	4437.234283
5.807085	4975.709063
2.491456	2758.429123
1.113151	1239.476087
1.479776	1584.368062
0.392675	295.571131
5.043968	4458.495342
0.906351	939.514171
2.731440	2781.101098
1.486140	1263.197289
2.623814	2580.417079
3.120918	2968.005456
4.297679	3975.574984
1.240697	1363.449912
0.320130	546.545045
0.981601	1606.622605
4.906252	5044.121792
4.667342	3694.851046
2.835442	2155.621831
2.851179	3277.983653
3.197100	3686.368220
1.126836	534.910027
5.045080	4673.531115
2.035225	2169.209773
1.894494	2229.738505
2.460744	2303.447903
0.583816	327.619766
1.093072	1288.275268
3.639660	3819.009952
0.759459	953.508223
2.864600	3206.654073
1.381912	1649.944766
1.918486	2252.242177
1.539578	1773.265007
1.788944	1937.489303
3.518542	3234.688009
1.570474	1544.389937
2.682283	2811.547148
2.272452	2488.641466
3.189378	3055.204904
5.272540	4124.197080
3.604354	3213.719624
1.271675	1388.519501
0.488654	724.144724
1.443261	1480.846007
2.823653	2664.221172
0.608025	931.623323
2.360421	1934.330705
2.832559	3290.722239
1.708083	1922.766603
3.860731	4338.116199
0.861074	653.907112
0.724794	619.674842
3.576294	3990.552240
2.356587	2778.748920
3.332220	3375.164090
2.100249	1852.312514
1.385727	1491.663755
4.214293	4377.241980
4.065272	3764.014075
3.369616	2646.566289
1.479185	1990.594743
2.799318	2731.620051
1.809139	1735.012649
0.797904	648.877335
5.073730	4802.200738
0.981342	1121.880030
5.415647	5398.083120
2.146167	2165.000665
1.162845	1232.418636
2.566128	2585.502945
4.659005	3764.547585
3.602122	3630.003882
4.118593	3840.608340
3.161887	2781.143006
3.355187	3491.135169
4.455676	3788.398799
1.397564	1566.961935
2.330118	2016.528184
1.294430	1635.222638
5.846692	4112.702393
5.349018	4540.705098
0.540518	530.708410
3.435299	3774.771639
5.153255	4782.219571
1.146063	1762.559574
2.689725	2856.343363
5.055681	3888.633704
0.506672	727.333705
3.385936	3083.694055
1.571309	1180.352719
5.144631	4754.137442
5.649360	4526.540770
5.351233	4650.980168
2.264608	2434.815168
4.564171	4256.858401
4.417268	3945.442318
1.651611	2406.141729
4.291129	3893.319892
0.525861	247.130186
2.829665	2636.275274
1.326333	1595.907444
0.917600	1112.501339
0.733115	729.503183
3.379146	3965.670291
1.729218	2362.542902
3.554557	3351.896760
0.678638	847.817995
1.637481	1902.001385
2.554922	2522.785543
4.001538	3705.263763
1.650320	2302.925652
2.982802	3235.497489
4.775853	3478.166806
2.930137	3419.492442
1.337025	1591.273291
0.440882	267.223768
4.633991	4692.721659
0.416624	506.705252
4.674523	4303.919782
2.506280	2775.262447
5.296045	4790.365479
4.060592	3869.669075
5.973895	5110.988580
1.770117	1671.613266
3.834925	3438.363638
1.968136	1822.533202
2.288850	2169.363998
2.991360	3731.489962
4.665460	3767.796729
5.803241	4526.990438
3.842424	4511.224304
2.031195	2212.626019
2.045627	2258.295964
3.636728	2870.209764
1.358101	1188.210080
0.876948	1226.187217
1.784951	1432.235291
1.534255	1698.221000
1.567487	1994.460080
1.339373	1113.337386
0.556214	589.220287
0.388178	259.915472
5.847355	5176.463871
2.071550	1921.684995
1.899114	2479.877679
3.280919	3267.454598
1.283706	1244.542675
5.412643	4689.157774
3.969898	3645.264791
0.788517	910.671705
2.030449	2090.243269
4.713863	4486.594632
5.356215	4992.696528
2.235651	2030.977150
2.917392	2339.102459
1.095871	1048.615363
5.889601	4812.726682
1.332359	1107.357440
5.334855	5011.472017
3.111126	2749.629157
2.888085	2860.793996
2.432738	2056.670905
1.328728	1241.792384
1.131116	932.646800
1.291806	1801.872807
1.167643	1484.522378
3.921629	4167.470756
1.767895	1618.605624
0.641387	839.861031
5.626782	4737.116695
4.755925	5050.266200
5.178717	4925.451662
5.935964	4886.929090
1.121370	1184.547249
1.945711	1878.594699
3.773726	4091.760116
3.377539	3162.014779
1.046582	1318.591415
4.189081	3501.184153
1.306149	1243.885920
1.303890	1727.522080
2.543258	2325.388357
2.812897	2610.111564
2.748972	2062.579833
0.797494	692.828868
4.699048	4608.627923
1.455381	1734.606396
0.952927	1156.066638
4.801203	4487.385214
5.475036	4237.480414
4.564900	3926.717814
4.140896	4076.959273
3.142117	3357.109513
2.608112	2070.827867
0.777948	416.509473
1.993992	2351.034727
1.854061	2025.171926
1.434147	1169.960973
3.546043	3729.440451
2.358271	2384.327404
0.751630	745.170722
1.290707	824.631272
3.301981	2663.353808
0.729354	650.664294
4.472436	4320.575059
2.355077	1846.243773
2.291906	2447.524962
2.810225	2185.641045
4.257758	3998.063497
1.759132	1944.647669
3.271452	3501.664622
2.679039	2770.503106
1.460572	1806.913105
4.709491	3324.611302
4.050574	3575.887729
3.160031	2618.448712
4.467218	4080.649762
4.609524	3475.156726
3.452350	3296.250453
4.355879	3961.294515
3.386243	3759.482643
3.283789	2813.848385
2.944484	3242.988529
3.736534	3445.641201
1.064327	1266.017375
4.729596	3968.071366
4.649299	3161.595647
0.475578	523.345729
4.266676	4183.094848
0.950401	898.213026
1.711362	1588.750726
3.675442	3295.416520
1.072416	644.475938
4.205516	4080.674946
4.316717	3402.146897
2.409442	2353.737251
0.259808	136.624753
1.533520	1316.365713
2.935683	3154.442454
5.768474	4580.640966
3.014314	3087.722788
1.434328	1429.865271
3.026058	2884.031133
2.557217	2750.585509
3.923479	4036.798367
0.862648	576.369858
3.792678	3929.992199
2.563174	2269.864551
5.557088	5121.770128
1.736733	1989.756114
3.018640	2893.796297
5.222612	5115.711891
0.844152	974.956988
5.276717	4873.643710
3.329170	3168.543954
0.690571	428.114633
1.584595	1453.332290
3.451180	3062.037687
0.688244	807.478602
2.759253	2962.010384
1.751855	1946.336854
2.956562	2471.781942
0.577004	303.919401
4.646603	4365.178468
5.677611	4963.704998
5.624196	4311.070363
3.716073	3845.363148
0.955163	1113.972788
3.773894	3345.504117
0.442273	409.917758
0.423409	486.424026
1.668376	1826.103880
2.326721	3152.206730
3.857221	3632.546965
3.302195	3504.669589
2.145742	1800.234515
1.484579	1546.322033
5.963711	5357.089729
2.065103	1470.674829
2.168472	2030.554307
1.083140	889.905783
4.031346	4055.486784
3.363560	3061.421690
1.292835	1413.211739
0.757598	1028.308966
3.285876	2941.800796
3.138052	3321.398724
1.483243	1356.792575
5.422468	4269.449055
1.035841	873.622403
2.090085	1948.714489
5.344281	4544.663047
2.039070	1781.161303
3.050411	3235.549027
1.951031	2173.566019
1.486723	1573.219702
5.801966	4200.432982
1.997496	2121.588846
4.850690	4420.130157
1.326136	1283.693296
1.265006	1317.796164
0.488328	461.006014
3.122280	2905.614980
1.838052	2192.214258
4.584096	3259.998037
2.260324	1849.319341
5.616331	4919.709197
1.164289	1098.888728
4.621096	4137.777743
3.900522	3953.673292
3.860799	3808.491806
4.419191	3628.643466
3.792651	3736.038053
2.984544	3451.136053
0.959690	864.934030
0.497502	599.081761
5.108936	5186.217024
2.934240	2833.556366
4.044030	4163.858063
2.295932	2949.037174
0.904575	953.165619
0.935912	1155.001617
3.315506	3177.745435
2.081830	2739.087716
1.219207	1363.647850
2.339561	2575.660318
0.673061	829.881798
2.758269	3112.032812
1.467718	1544.668268
4.051555	4152.049416
1.619245	1716.693833
2.184440	1776.943323
0.327121	419.179930
0.712327	1239.063918
1.930999	1867.859790
2.289121	2711.558359
2.848657	2129.527935
1.550449	1843.999608
3.371322	3053.617543
4.547735	4305.388955
3.923518	3789.874345
0.541664	589.827082
2.291563	1709.455638
0.854193	843.971807
1.369940	1248.023035
5.834455	4611.036021
1.003201	849.508808
2.371496	2446.513574
2.942101	3331.795117
3.416383	3007.730278
2.649847	2744.456633
0.305760	364.088997
1.678997	2106.475615
2.455303	2349.214167
0.781794	550.846088
1.769795	1595.941886
0.501897	668.224601
