# z_cadidates 	 DM_EG_candidates
0.433220	405.411664
0.064496	21.927038
0.522689	271.293093
0.263990	116.456360
0.554092	642.173397
0.128655	42.540056
0.371560	330.668140
0.084850	39.711734
0.302366	486.089899
0.820120	939.358806
0.894678	1428.026313
0.489442	706.312909
0.266659	407.987571
0.557213	570.573800
0.681683	968.450721
0.581148	457.473629
0.909382	959.090802
0.309500	202.915356
0.128953	164.072251
0.682480	700.942745
0.525364	593.013403
0.119104	240.744516
0.261477	76.382995
0.159066	254.364759
0.946110	1104.144525
0.163154	171.911005
0.704273	753.796827
0.677954	872.877298
1.269230	1554.240615
0.380877	328.884109
0.098909	61.300267
0.540703	469.119786
0.208867	299.091269
0.838709	1268.190713
0.660315	538.086034
0.390348	245.788011
0.115876	186.383715
1.111318	890.861821
0.327020	405.637256
0.208294	238.442817
0.577633	552.537483
0.362376	410.210887
1.072714	1182.606216
0.059039	102.565639
1.237925	1580.652077
1.285758	1241.149788
0.085803	164.265891
0.145159	131.723328
0.838099	615.772539
0.133439	93.357336
1.144792	1522.404119
0.117933	151.493085
0.246188	295.131971
0.179979	235.719669
0.318473	71.891418
0.626491	797.814438
0.165439	116.581095
0.866511	641.808603
0.714702	964.956824
0.765056	1009.266775
0.309256	655.950176
0.215148	167.763329
0.308927	417.044602
0.549960	641.985960
0.365336	658.666618
0.146839	95.587998
0.073839	144.461387
0.371219	638.088089
0.111605	263.562274
0.507851	379.250890
1.012105	1126.164403
0.550702	501.291252
0.343674	287.924348
1.104829	1102.879822
0.171480	28.904943
0.391333	239.665671
0.694572	647.795214
0.857837	831.692604
0.345079	542.935533
0.233539	469.114177
0.200989	237.161207
0.138837	202.475784
0.558609	338.547901
0.887970	686.808655
0.216384	259.561679
0.095023	257.151835
0.872878	1025.742746
1.374842	1434.211075
0.554142	485.103445
0.577731	213.005975
0.130109	340.440760
0.147028	237.018984
0.605093	790.194112
0.370602	393.053313
0.197866	408.470466
0.290706	425.551739
0.594954	709.591189
0.154945	26.327086
0.368625	799.480289
0.187930	89.855000
0.058408	108.186584
0.426573	319.786100
0.225284	233.851800
0.369077	439.684289
