 38 	 2340 	 0.24 	 42.83 	 81.10 	 17.81 	 256.77 	 0 	 0 	 0 	 0 
 1240 	 13462 	 0.18 	 42.50 	 84.97 	 12.75 	 156.72 	 0 	 0 	 0 	 0 
 1557 	 23431 	 0.67 	 44.19 	 82.19 	 9.15 	 926.66 	 0 	 0 	 0 	 0 
 646 	 13319 	 0.88 	 44.25 	 82.57 	 6.69 	 660.60 	 0 	 0 	 0 	 0 
 39 	 28212 	 0.32 	 43.81 	 88.04 	 132.99 	 431.97 	 1 	 0 	 0 	 0 
 934 	 27225 	 0.23 	 43.19 	 88.92 	 244.88 	 302.42 	 1 	 0 	 0 	 0 
 1241 	 15788 	 0.29 	 43.29 	 88.50 	 223.10 	 74.96 	 1 	 0 	 0 	 0 
 1558 	 10077 	 0.19 	 44.49 	 86.74 	 124.76 	 176.78 	 1 	 1 	 1 	 1 
 648 	 4319 	 0.47 	 44.01 	 81.19 	 18.43 	 794.65 	 1 	 0 	 0 	 0 
 354 	 14292 	 0.07 	 43.70 	 85.02 	 76.45 	 109.53 	 1 	 1 	 1 	 0 
 1242 	 15528 	 0.13 	 42.45 	 80.72 	 343.55 	 377.27 	 1 	 0 	 0 	 0 
 1242 	 29288 	 0.33 	 43.54 	 84.27 	 327.11 	 601.39 	 0 	 0 	 0 	 0 
 40 	 3960 	 0.27 	 43.05 	 82.15 	 6.61 	 401.01 	 0 	 0 	 0 	 0 
 936 	 10436 	 0.08 	 43.16 	 79.86 	 351.49 	 109.87 	 1 	 0 	 0 	 0 
 1561 	 5204 	 0.35 	 42.97 	 88.55 	 142.31 	 459.18 	 0 	 0 	 0 	 0 
 1243 	 25652 	 0.17 	 43.48 	 79.91 	 3.33 	 332.12 	 0 	 0 	 0 	 0 
 937 	 11624 	 0.33 	 43.22 	 86.62 	 131.85 	 39.96 	 0 	 0 	 0 	 0 
 937 	 13890 	 0.06 	 42.59 	 87.28 	 108.39 	 152.40 	 0 	 0 	 0 	 0 
 46 	 24656 	 0.27 	 42.88 	 86.41 	 57.99 	 260.43 	 0 	 0 	 0 	 0 
 46 	 25283 	 0.13 	 43.86 	 86.22 	 154.82 	 200.08 	 1 	 1 	 1 	 1 
